Evaluations, Played
2,  28
3,  5
4,  1
1,  660
2,  147
3,  9
4,  2
5,  1
1,  660
2,  147
3,  20
4,  1
1,  204
2,  70
3,  7
4,  3
5,  2
1,  660
2,  81
3,  7
4,  1
1,  660
2,  147
3,  34
4,  7
5,  1
1,  660
2,  108
3,  15
4,  2
5,  1
1,  660
2,  141
3,  27
4,  1
1,  6
2,  1
1,  204
2,  70
3,  5
1,  204
2,  70
3,  12
4,  3
5,  2
6,  1
1,  204
2,  40
3,  8
4,  3
1,  204
2,  9
3,  4
1,  204
2,  70
3,  7
4,  1
1,  204
2,  33
3,  4
4,  1
1,  204
2,  70
3,  11
4,  1
1,  72
2,  28
3,  2
1,  660
2,  147
3,  38
4,  7
5,  1
1,  660
2,  147
3,  34
4,  8
5,  3
6,  1
1,  204
2,  70
3,  15
4,  2
1,  660
2,  147
3,  17
4,  5
5,  1
1,  660
2,  141
3,  5
4,  1
1,  660
2,  141
3,  11
4,  2
5,  1
1,  660
2,  108
3,  27
4,  3
1,  72
2,  2
3,  1
1,  660
2,  147
3,  7
4,  2
1,  660
2,  81
3,  7
1,  204
2,  21
3,  5
4,  4
1,  660
2,  108
3,  18
4,  5
1,  660
2,  10
3,  3
1,  660
2,  41
3,  4
4,  2
5,  1
1,  660
2,  41
3,  4
4,  2
1,  72
2,  7
3,  5
4,  4
5,  3
6,  2
7,  1
1,  660
2,  141
3,  25
4,  2
1,  660
2,  147
3,  29
4,  5
5,  1
1,  204
2,  70
3,  2
1,  660
2,  108
1,  660
2,  41
3,  5
4,  3
5,  2
1,  660
2,  147
3,  19
4,  2
1,  660
2,  147
3,  37
4,  3
5,  1
1,  72
2,  5
3,  4
4,  3
1,  660
2,  147
3,  32
4,  4
5,  1
1,  660
2,  141
3,  22
4,  2
1,  204
2,  70
3,  6
4,  1
1,  660
2,  108
3,  4
4,  1
1,  660
2,  108
3,  15
4,  1
1,  660
2,  141
3,  9
4,  3
5,  1
1,  660
2,  81
3,  6
4,  1
1,  204
2,  70
3,  9
4,  1
1,  224
2,  28
3,  5
4,  4
5,  3
6,  2
7,  1
1,  9
2,  4
3,  2
1,  224
2,  28
3,  3
4,  2
5,  1
1,  224
2,  28
3,  3
4,  2
5,  1
1,  224
2,  50
3,  11
1,  224
2,  61
3,  5
4,  1
1,  224
2,  28
3,  1
1,  72
2,  28
3,  4
4,  3
5,  2
1,  660
2,  42
3,  2
4,  1
1,  204
2,  70
3,  12
4,  2
1,  660
2,  147
3,  28
4,  1
1,  660
2,  147
3,  13
1,  660
2,  147
3,  25
4,  2
1,  660
2,  108
3,  6
4,  2
1,  660
2,  41
3,  10
4,  2
5,  1
1,  8
1,  224
2,  61
3,  10
4,  2
1,  224
2,  28
3,  1
1,  224
2,  7
3,  4
4,  3
1,  224
2,  61
3,  15
1,  224
2,  3
3,  1
1,  224
2,  61
3,  1
1,  224
2,  28
3,  3
4,  2
5,  1
1,  204
2,  40
3,  10
4,  4
5,  3
6,  2
7,  1
1,  936
2,  110
3,  2
4,  1
1,  224
2,  28
3,  3
1,  936
2,  188
3,  22
4,  4
5,  1
1,  936
2,  165
3,  32
4,  2
5,  1
1,  936
2,  165
3,  35
4,  7
5,  2
1,  936
2,  188
3,  7
4,  1
1,  936
2,  200
3,  22
4,  2
5,  1
1,  204
2,  21
3,  3
4,  1
1,  936
2,  188
3,  20
4,  1
1,  224
2,  50
3,  7
4,  1
1,  936
2,  165
3,  35
4,  10
5,  2
6,  1
1,  936
2,  188
3,  17
1,  936
2,  165
3,  16
4,  1
1,  936
2,  165
3,  9
1,  936
2,  188
3,  32
4,  7
1,  204
2,  33
3,  9
4,  1
1,  936
2,  200
3,  37
4,  4
5,  1
1,  224
2,  61
3,  5
4,  2
1,  936
2,  165
3,  13
4,  2
1,  936
2,  188
3,  8
4,  1
1,  936
2,  200
3,  32
4,  1
1,  936
2,  52
3,  2
4,  1
1,  936
2,  200
3,  16
4,  2
5,  1
1,  204
2,  33
3,  3
4,  1
1,  936
2,  165
3,  33
4,  3
1,  224
2,  61
3,  5
4,  1
1,  936
2,  188
3,  41
4,  7
5,  2
1,  936
2,  188
3,  17
4,  6
5,  1
1,  936
2,  200
3,  34
4,  7
5,  3
6,  1
1,  936
2,  200
3,  34
4,  4
5,  1
1,  936
2,  188
3,  4
1,  204
2,  33
3,  4
4,  3
5,  2
1,  936
2,  165
3,  23
4,  2
1,  224
2,  7
3,  4
4,  3
5,  2
6,  1
1,  936
2,  188
3,  40
4,  3
5,  1
1,  936
2,  200
3,  34
4,  5
5,  1
1,  936
2,  200
3,  39
4,  1
1,  936
2,  200
3,  17
4,  6
5,  1
1,  936
2,  52
3,  3
1,  660
2,  141
3,  25
4,  5
5,  2
6,  1
1,  936
2,  110
3,  7
4,  2
5,  1
1,  224
2,  24
1,  224
2,  3
3,  1
1,  936
2,  165
3,  17
4,  2
5,  1
1,  936
2,  200
3,  36
4,  9
5,  1
1,  936
2,  56
3,  5
1,  936
2,  200
3,  2
1,  216
2,  52
3,  10
4,  2
1,  500
2,  90
3,  9
1,  660
2,  141
3,  23
4,  2
5,  1
1,  660
2,  147
3,  8
4,  2
1,  500
2,  62
3,  13
4,  2
5,  1
1,  500
2,  90
3,  15
4,  3
5,  1
1,  500
2,  117
3,  16
4,  1
1,  500
2,  90
3,  15
1,  204
2,  33
3,  1
1,  936
2,  165
3,  26
4,  1
1,  936
2,  56
3,  5
4,  1
1,  224
2,  50
3,  1
1,  936
2,  61
3,  12
4,  4
5,  1
1,  936
2,  165
3,  12
4,  1
1,  936
2,  52
3,  16
4,  2
5,  1
1,  936
2,  26
3,  11
4,  2
5,  1
1,  204
2,  33
3,  2
4,  1
1,  936
2,  200
3,  33
4,  2
5,  1
1,  224
2,  50
3,  11
4,  1
1,  936
2,  165
3,  30
4,  2
5,  1
1,  936
2,  200
3,  32
4,  3
1,  936
2,  200
3,  14
4,  5
5,  1
1,  936
2,  200
3,  37
4,  10
1,  936
2,  165
3,  35
4,  8
5,  2
1,  660
2,  141
3,  25
4,  7
5,  1
1,  976
2,  174
3,  8
4,  1
1,  936
2,  165
3,  32
4,  4
1,  936
2,  188
3,  16
4,  5
5,  1
1,  976
2,  174
3,  35
4,  2
1,  976
2,  112
3,  3
1,  976
2,  112
3,  18
4,  2
1,  976
2,  179
3,  16
4,  2
5,  1
1,  660
2,  108
3,  1
1,  976
2,  112
3,  9
4,  3
5,  2
6,  1
1,  936
2,  200
3,  32
4,  8
5,  2
6,  1
1,  936
2,  200
3,  32
4,  10
5,  1
1,  976
2,  179
3,  28
4,  4
1,  976
2,  71
3,  4
4,  2
1,  976
2,  228
3,  4
4,  2
1,  976
2,  67
3,  6
4,  1
1,  660
2,  42
3,  8
4,  1
1,  976
2,  228
3,  36
4,  1
1,  936
2,  200
3,  29
4,  4
5,  1
1,  936
2,  165
3,  39
4,  7
5,  1
1,  976
2,  179
3,  29
4,  9
5,  1
1,  976
2,  29
3,  6
4,  1
1,  976
2,  112
3,  30
4,  2
5,  1
1,  976
2,  67
3,  15
4,  3
1,  660
2,  141
3,  6
4,  2
5,  1
1,  976
2,  174
3,  24
4,  1
1,  936
2,  165
3,  28
4,  6
1,  936
2,  52
3,  4
1,  976
2,  228
3,  42
4,  5
5,  1
1,  976
2,  67
3,  12
4,  2
5,  1
1,  976
2,  228
3,  44
4,  3
5,  1
1,  976
2,  228
3,  47
4,  4
1,  660
2,  37
3,  8
4,  3
5,  2
6,  1
1,  936
2,  56
3,  8
1,  224
2,  24
3,  8
4,  3
1,  224
2,  15
3,  5
4,  4
5,  3
6,  2
7,  1
1,  936
2,  200
3,  34
4,  6
5,  1
1,  936
2,  200
3,  23
4,  7
5,  1
1,  936
2,  52
3,  3
4,  1
1,  936
2,  52
3,  14
4,  3
5,  1
1,  216
2,  52
3,  5
4,  3
5,  2
6,  1
1,  500
2,  62
3,  13
1,  660
2,  147
3,  29
4,  2
1,  660
2,  42
3,  6
4,  1
1,  500
2,  62
1,  500
2,  62
3,  13
4,  2
1,  500
2,  117
3,  20
4,  1
1,  500
2,  90
3,  14
4,  2
5,  1
1,  204
2,  70
3,  17
4,  1
1,  936
2,  110
3,  20
4,  1
1,  936
2,  188
3,  16
1,  224
2,  61
3,  10
4,  1
1,  936
2,  200
3,  13
4,  5
5,  1
1,  936
2,  188
3,  18
4,  1
1,  936
2,  200
3,  32
4,  9
5,  2
6,  1
1,  936
2,  165
3,  7
4,  2
5,  1
1,  204
2,  40
3,  10
1,  936
2,  61
3,  12
4,  1
1,  224
2,  28
3,  4
4,  1
1,  936
2,  188
3,  15
4,  1
1,  936
2,  165
3,  35
1,  936
2,  188
3,  15
4,  4
5,  1
1,  936
2,  56
3,  5
1,  936
2,  56
3,  3
4,  2
1,  660
2,  16
3,  4
1,  976
2,  179
3,  42
4,  6
5,  1
1,  936
2,  5
3,  3
4,  2
1,  936
2,  110
3,  7
4,  1
1,  976
2,  179
3,  36
4,  5
5,  2
6,  1
1,  976
2,  228
3,  41
4,  3
1,  976
2,  228
3,  19
4,  1
1,  976
2,  179
3,  35
4,  2
1,  660
2,  108
3,  15
4,  2
1,  976
2,  174
3,  12
4,  3
1,  936
2,  56
3,  15
4,  2
1,  936
2,  188
3,  34
4,  4
5,  1
1,  976
2,  228
3,  34
4,  3
1,  976
2,  179
3,  3
1,  976
2,  228
3,  29
4,  4
5,  1
1,  976
2,  179
3,  12
1,  660
2,  41
3,  11
1,  976
2,  174
3,  10
4,  2
1,  936
2,  165
3,  30
4,  1
1,  936
2,  52
1,  976
2,  179
3,  15
4,  2
1,  976
2,  179
3,  35
4,  4
5,  2
1,  976
2,  64
3,  10
4,  1
1,  976
2,  179
3,  7
4,  1
1,  660
2,  29
3,  1
1,  976
2,  174
3,  16
4,  2
5,  1
1,  936
2,  52
3,  10
4,  2
1,  936
2,  200
3,  31
4,  7
5,  1
1,  976
2,  67
3,  14
4,  2
5,  1
1,  976
2,  174
3,  20
4,  7
5,  1
1,  976
2,  29
3,  2
4,  1
1,  976
2,  112
3,  32
4,  9
5,  2
6,  1
1,  660
2,  108
3,  9
4,  2
1,  936
2,  61
3,  15
4,  1
1,  224
2,  50
3,  10
4,  2
5,  1
1,  224
2,  15
3,  5
4,  4
5,  3
1,  936
2,  56
3,  1
1,  936
2,  165
3,  30
4,  7
5,  1
1,  936
2,  165
3,  18
4,  2
5,  1
1,  936
2,  200
3,  37
4,  10
5,  2
1,  216
2,  36
3,  4
4,  3
5,  2
1,  500
2,  62
3,  6
4,  3
5,  1
1,  660
2,  108
3,  9
4,  2
5,  1
1,  660
2,  81
3,  6
4,  1
1,  500
2,  62
3,  15
4,  6
1,  500
2,  90
3,  24
4,  3
5,  1
1,  500
2,  117
3,  16
4,  3
5,  1
1,  500
2,  90
3,  17
4,  2
1,  204
2,  40
3,  10
4,  1
1,  936
2,  61
3,  15
4,  2
5,  1
1,  936
2,  165
3,  40
4,  7
5,  2
6,  1
1,  224
2,  15
1,  936
2,  165
3,  31
4,  3
1,  936
2,  12
3,  6
1,  936
2,  200
3,  31
4,  2
1,  936
2,  200
3,  8
4,  2
5,  1
1,  204
2,  33
3,  2
1,  936
2,  110
3,  14
4,  1
1,  224
2,  61
3,  10
4,  1
1,  936
2,  165
3,  4
4,  2
5,  1
1,  936
2,  56
3,  8
4,  1
1,  936
2,  165
3,  34
4,  2
1,  936
2,  56
3,  12
4,  3
5,  2
1,  936
2,  200
3,  13
4,  2
5,  1
1,  660
2,  141
3,  27
4,  2
5,  1
1,  976
2,  174
3,  18
4,  2
1,  936
2,  200
3,  2
1,  936
2,  200
1,  976
2,  179
3,  25
4,  3
5,  1
1,  976
2,  29
3,  2
4,  1
1,  976
2,  174
3,  37
4,  2
5,  1
1,  976
2,  228
1,  660
2,  147
3,  14
4,  3
5,  1
1,  976
2,  228
3,  34
4,  9
5,  3
6,  1
1,  936
2,  200
3,  29
4,  5
5,  1
1,  936
2,  200
3,  6
4,  2
5,  1
1,  976
2,  67
3,  16
4,  1
1,  976
2,  174
3,  13
4,  1
1,  976
2,  174
3,  22
4,  3
1,  976
2,  71
3,  19
4,  1
1,  660
2,  108
3,  13
4,  1
1,  976
2,  174
3,  16
1,  936
2,  188
3,  12
4,  2
5,  1
1,  936
2,  188
3,  37
4,  4
5,  1
1,  976
2,  71
3,  4
4,  2
1,  976
2,  174
3,  13
4,  3
5,  1
1,  976
2,  21
3,  4
4,  1
1,  976
2,  174
3,  37
4,  4
5,  1
1,  660
2,  141
3,  21
4,  6
5,  2
1,  976
2,  179
3,  5
4,  2
1,  936
2,  200
3,  32
4,  7
5,  1
1,  936
2,  52
3,  18
4,  3
1,  976
2,  228
3,  44
4,  4
5,  1
1,  976
2,  71
3,  7
4,  1
1,  976
2,  228
3,  19
4,  4
1,  976
2,  179
3,  22
4,  1
1,  660
2,  81
3,  6
4,  1
1,  936
2,  56
3,  12
4,  2
1,  224
2,  28
3,  3
4,  1
1,  224
2,  50
3,  7
4,  3
5,  2
6,  1
1,  936
2,  56
3,  2
1,  936
2,  52
3,  14
4,  1
1,  936
2,  56
3,  4
1,  936
2,  52
3,  9
4,  3
5,  2
1,  216
2,  18
3,  4
4,  2
1,  500
2,  62
3,  14
4,  3
5,  1
1,  660
2,  41
3,  3
1,  660
2,  81
3,  14
4,  4
5,  1
1,  500
2,  30
3,  5
4,  1
1,  500
2,  90
3,  28
4,  1
1,  500
2,  39
3,  4
4,  2
1,  500
2,  117
3,  6
4,  1
1,  204
2,  21
3,  3
4,  2
5,  1
1,  936
2,  200
3,  35
4,  5
1,  936
2,  188
3,  22
4,  6
5,  1
1,  224
2,  28
3,  5
4,  1
1,  936
2,  165
3,  27
4,  3
5,  1
1,  936
2,  188
3,  43
4,  5
1,  936
2,  200
3,  13
4,  4
1,  936
2,  200
3,  9
4,  2
1,  204
2,  9
3,  4
1,  936
2,  110
3,  6
1,  224
2,  28
3,  4
1,  936
2,  26
3,  15
4,  3
5,  2
6,  1
1,  936
2,  5
3,  2
4,  1
1,  936
2,  61
3,  13
1,  936
2,  200
3,  13
4,  3
1,  936
2,  200
3,  23
4,  5
5,  3
6,  2
7,  1
1,  660
2,  147
3,  6
4,  2
5,  1
1,  976
2,  64
3,  4
4,  2
5,  1
1,  936
2,  188
3,  41
4,  7
5,  1
1,  936
2,  52
3,  11
4,  2
1,  976
2,  179
3,  29
4,  1
1,  976
2,  71
3,  6
4,  4
5,  1
1,  976
2,  67
3,  6
4,  1
1,  976
2,  228
3,  42
4,  4
5,  1
1,  660
2,  41
3,  4
4,  2
1,  976
2,  174
3,  13
4,  1
1,  936
2,  165
3,  26
4,  4
5,  1
1,  936
2,  200
3,  28
4,  3
5,  1
1,  976
2,  67
3,  15
1,  976
2,  228
3,  24
4,  2
5,  1
1,  976
2,  228
3,  39
4,  3
5,  1
1,  976
2,  228
3,  40
4,  6
5,  2
6,  1
1,  660
2,  2
1,  976
2,  174
3,  19
4,  3
5,  1
1,  936
2,  165
3,  24
4,  3
5,  1
1,  936
2,  200
3,  31
4,  8
5,  3
1,  976
2,  179
3,  8
4,  2
1,  976
2,  179
3,  37
4,  1
1,  976
2,  112
3,  8
1,  976
2,  112
3,  14
4,  2
1,  660
2,  108
3,  15
4,  2
5,  1
1,  976
2,  112
3,  16
4,  2
5,  1
1,  936
2,  188
3,  37
4,  8
5,  1
1,  936
2,  200
3,  41
4,  8
5,  1
1,  976
2,  179
3,  36
4,  4
5,  1
1,  976
2,  228
3,  19
4,  3
5,  1
1,  976
2,  179
3,  13
4,  5
5,  1
1,  976
2,  112
3,  16
1,  660
2,  81
3,  14
4,  4
5,  1
1,  224
2,  24
3,  8
4,  3
5,  2
1,  936
2,  52
3,  1
1,  224
2,  24
3,  8
4,  3
1,  936
2,  110
3,  7
4,  1
1,  936
2,  52
3,  10
4,  3
5,  1
1,  936
2,  52
3,  4
4,  1
1,  936
2,  52
3,  6
4,  1
1,  72
2,  5
3,  4
4,  3
5,  2
1,  204
2,  16
1,  204
2,  6
1,  8
2,  3
1,  204
2,  70
3,  12
4,  1
1,  204
2,  70
3,  15
4,  2
1,  204
2,  9
1,  204
2,  33
3,  1
1,  660
2,  41
3,  10
1,  224
2,  61
3,  6
1,  936
2,  110
3,  24
4,  2
1,  224
2,  24
3,  10
1,  936
2,  110
3,  18
4,  4
5,  1
1,  936
2,  165
3,  24
4,  3
1,  936
2,  110
3,  21
4,  4
1,  936
2,  110
3,  7
1,  204
2,  70
3,  13
4,  2
5,  1
1,  9
2,  4
3,  1
1,  224
2,  50
3,  6
1,  224
2,  50
3,  5
4,  3
5,  2
1,  224
2,  50
3,  8
4,  1
1,  224
2,  61
3,  10
4,  1
1,  224
2,  61
3,  10
4,  2
1,  224
2,  50
3,  11
4,  1
1,  660
2,  108
3,  21
4,  1
1,  224
2,  61
3,  10
4,  1
1,  936
2,  188
3,  36
4,  12
1,  224
2,  50
3,  12
4,  1
1,  936
2,  188
3,  13
4,  2
5,  1
1,  936
2,  56
3,  5
4,  1
1,  936
2,  200
3,  32
4,  9
5,  2
1,  936
2,  165
3,  19
4,  2
5,  1
1,  660
2,  147
3,  25
4,  5
5,  1
1,  224
2,  61
3,  11
4,  1
1,  936
2,  188
3,  26
4,  2
1,  224
2,  3
3,  1
1,  936
2,  165
3,  25
4,  6
5,  1
1,  936
2,  188
3,  25
4,  6
5,  2
6,  1
1,  936
2,  188
3,  21
4,  6
5,  1
1,  936
2,  56
3,  8
1,  660
2,  37
3,  17
4,  3
5,  2
6,  1
1,  224
2,  50
3,  7
1,  936
2,  188
3,  36
4,  5
1,  224
2,  7
3,  2
1,  936
2,  188
3,  43
1,  936
2,  188
3,  9
1,  936
2,  188
3,  28
4,  2
5,  1
1,  936
2,  52
3,  13
4,  3
5,  1
1,  660
2,  42
1,  224
2,  28
1,  936
2,  110
3,  7
4,  2
5,  1
1,  224
2,  50
3,  2
4,  1
1,  936
2,  200
3,  34
4,  10
5,  2
6,  1
1,  936
2,  200
3,  15
4,  1
1,  936
2,  165
3,  28
4,  6
5,  1
1,  936
2,  188
3,  37
4,  5
5,  1
1,  204
2,  40
3,  3
4,  2
1,  224
2,  50
3,  7
1,  224
2,  24
3,  10
4,  4
1,  9
2,  4
1,  224
2,  28
3,  2
1,  224
2,  24
3,  4
4,  3
5,  2
1,  224
2,  61
1,  224
2,  28
3,  7
4,  1
1,  72
2,  14
3,  4
4,  3
5,  2
1,  660
2,  81
3,  3
4,  1
1,  660
2,  42
3,  2
4,  1
1,  204
2,  70
3,  8
4,  3
5,  2
6,  1
1,  660
2,  29
3,  13
4,  3
1,  660
2,  147
3,  10
4,  1
1,  660
2,  147
3,  38
4,  7
5,  1
1,  660
2,  81
3,  10
4,  3
5,  1
1,  204
2,  40
3,  6
1,  936
2,  61
3,  15
4,  2
1,  936
2,  165
3,  31
4,  6
5,  2
1,  224
2,  50
3,  10
4,  1
1,  936
2,  188
3,  9
4,  3
5,  1
1,  936
2,  110
3,  24
4,  2
1,  936
2,  200
3,  32
4,  1
1,  936
2,  56
3,  21
4,  3
5,  1
1,  8
2,  4
3,  3
4,  2
1,  224
2,  7
3,  4
1,  224
2,  24
3,  8
4,  3
1,  224
2,  50
3,  13
4,  2
1,  224
2,  24
3,  1
1,  224
2,  61
3,  10
4,  1
1,  224
2,  50
3,  13
4,  1
1,  224
2,  28
3,  7
4,  1
1,  204
2,  70
3,  13
4,  1
1,  936
2,  200
3,  31
4,  1
1,  936
2,  188
3,  33
4,  7
5,  1
1,  224
2,  61
3,  15
4,  2
5,  1
1,  936
2,  52
3,  17
4,  3
5,  2
6,  1
1,  936
2,  52
3,  8
4,  2
1,  936
2,  56
3,  8
4,  1
1,  936
2,  52
3,  5
1,  204
2,  70
3,  2
1,  936
2,  110
3,  23
1,  936
2,  200
3,  16
4,  2
1,  224
2,  28
3,  4
4,  1
1,  936
2,  110
3,  3
4,  1
1,  936
2,  61
3,  16
4,  4
1,  936
2,  200
3,  36
4,  6
5,  2
1,  936
2,  52
3,  14
4,  2
5,  1
1,  204
2,  16
3,  3
4,  2
5,  1
1,  936
2,  165
3,  26
4,  4
1,  936
2,  52
3,  4
1,  224
2,  50
3,  2
4,  1
1,  936
2,  165
3,  1
1,  936
2,  200
3,  36
4,  7
5,  2
1,  936
2,  52
3,  17
4,  3
1,  936
2,  165
3,  7
4,  1
1,  204
2,  70
3,  19
4,  3
5,  1
1,  936
2,  165
3,  35
4,  6
5,  1
1,  936
2,  200
3,  35
4,  2
1,  224
2,  24
3,  4
1,  936
2,  200
1,  936
2,  52
3,  16
4,  1
1,  936
2,  165
3,  4
4,  2
5,  1
1,  936
2,  200
3,  19
4,  2
5,  1
1,  216
2,  64
3,  4
4,  1
1,  204
2,  21
3,  4
4,  1
1,  660
2,  147
3,  10
4,  1
1,  204
2,  40
3,  10
4,  1
1,  660
2,  141
3,  11
4,  3
5,  1
1,  660
2,  141
3,  22
4,  7
5,  2
6,  1
1,  660
2,  29
3,  13
4,  2
1,  660
2,  81
3,  6
4,  1
1,  28
2,  18
3,  10
4,  4
5,  3
1,  216
2,  64
3,  4
1,  216
2,  64
3,  8
4,  2
1,  72
2,  14
3,  4
4,  3
1,  216
2,  64
3,  10
4,  5
5,  1
1,  216
2,  64
3,  10
4,  2
5,  1
1,  216
2,  64
3,  10
4,  3
5,  1
1,  216
2,  52
3,  9
4,  3
5,  2
1,  216
2,  16
3,  6
4,  2
5,  1
1,  660
2,  147
3,  3
4,  1
1,  500
2,  24
3,  3
4,  1
1,  660
2,  81
3,  9
4,  2
1,  500
2,  62
3,  12
4,  5
5,  1
1,  500
2,  117
3,  20
4,  3
5,  1
1,  500
2,  117
3,  16
4,  5
5,  1
1,  500
2,  117
3,  24
4,  2
1,  72
2,  5
1,  204
2,  40
3,  8
4,  3
1,  660
2,  147
3,  17
4,  2
5,  1
1,  660
2,  81
3,  6
1,  660
2,  108
3,  30
4,  6
1,  660
2,  108
3,  11
4,  2
1,  660
2,  108
3,  15
4,  3
5,  2
1,  660
2,  41
3,  11
4,  3
5,  1
1,  216
2,  16
3,  4
4,  1
1,  660
2,  41
3,  5
1,  500
2,  90
3,  4
1,  660
2,  108
3,  6
4,  1
1,  500
2,  90
3,  22
4,  3
1,  500
2,  117
3,  3
4,  2
5,  1
1,  500
2,  90
3,  16
4,  2
1,  500
2,  90
3,  15
4,  2
5,  1
1,  216
2,  64
3,  14
4,  5
5,  1
1,  660
2,  147
3,  2
1,  500
2,  62
3,  24
4,  12
1,  660
2,  147
3,  37
4,  1
1,  500
2,  117
3,  2
4,  1
1,  500
2,  117
3,  14
4,  1
1,  500
2,  62
3,  15
4,  2
5,  1
1,  500
2,  62
3,  14
4,  3
1,  216
2,  64
3,  10
4,  2
1,  660
2,  141
3,  24
4,  4
5,  2
1,  500
2,  117
3,  20
4,  1
1,  660
2,  81
3,  10
4,  3
5,  1
1,  500
2,  117
3,  30
4,  2
1,  500
2,  117
3,  20
4,  1
1,  500
2,  62
3,  6
4,  1
1,  500
2,  39
3,  8
4,  2
5,  1
1,  216
2,  64
3,  6
1,  660
2,  147
3,  10
4,  1
1,  500
2,  117
3,  16
4,  2
1,  660
2,  41
3,  11
1,  500
2,  90
3,  5
1,  500
2,  117
3,  28
4,  2
5,  1
1,  500
2,  21
1,  500
2,  117
3,  16
4,  2
1,  204
2,  9
3,  5
4,  4
5,  3
6,  2
1,  9
2,  2
1,  224
2,  24
3,  5
4,  3
5,  2
6,  1
1,  224
2,  61
3,  4
1,  224
2,  15
3,  3
4,  2
5,  1
1,  224
2,  61
3,  10
4,  2
5,  1
1,  224
2,  15
3,  3
4,  2
5,  1
1,  224
2,  28
3,  4
4,  1
1,  6
2,  4
3,  2
4,  1
1,  204
2,  21
3,  1
1,  204
2,  70
3,  13
4,  3
5,  2
6,  1
1,  204
2,  16
3,  4
1,  204
2,  33
3,  9
4,  2
1,  204
2,  70
3,  20
4,  3
5,  2
6,  1
1,  204
2,  4
1,  204
2,  16
3,  5
1,  204
2,  70
3,  8
4,  1
1,  224
2,  61
3,  10
4,  2
1,  936
2,  52
3,  8
4,  1
1,  936
2,  110
3,  18
4,  2
1,  936
2,  110
3,  11
4,  3
1,  936
2,  52
3,  5
4,  1
1,  936
2,  200
3,  37
4,  6
5,  1
1,  936
2,  188
3,  30
4,  2
5,  1
1,  204
2,  70
3,  8
4,  3
1,  224
2,  61
3,  6
4,  2
5,  1
1,  936
2,  52
3,  6
4,  1
1,  936
2,  52
3,  6
4,  3
5,  1
1,  936
2,  200
3,  23
4,  1
1,  936
2,  110
3,  12
4,  1
1,  936
2,  110
3,  24
4,  2
1,  936
2,  110
3,  10
4,  2
1,  204
2,  40
3,  10
4,  4
1,  224
2,  61
3,  10
4,  1
1,  936
2,  200
3,  23
4,  3
5,  1
1,  936
2,  188
3,  30
4,  3
1,  936
2,  188
3,  25
4,  3
5,  1
1,  936
2,  200
3,  32
4,  5
5,  2
6,  1
1,  936
2,  52
3,  12
4,  1
1,  936
2,  188
3,  6
4,  1
1,  204
2,  70
3,  19
4,  3
5,  1
1,  224
2,  50
3,  13
4,  1
1,  936
2,  200
3,  23
4,  3
5,  1
1,  936
2,  52
3,  8
4,  1
1,  936
2,  200
3,  12
1,  936
2,  52
3,  10
4,  3
1,  936
2,  200
3,  31
4,  2
1,  936
2,  188
3,  30
4,  1
1,  204
2,  40
3,  8
4,  3
5,  2
1,  224
2,  50
3,  3
1,  936
2,  52
3,  8
4,  1
1,  936
2,  188
3,  30
4,  1
1,  936
2,  188
3,  16
4,  3
5,  1
1,  936
2,  200
3,  3
4,  1
1,  936
2,  52
3,  10
4,  1
1,  936
2,  188
3,  37
4,  1
1,  204
2,  6
3,  1
1,  224
2,  61
3,  10
4,  1
1,  936
2,  200
3,  35
4,  2
1,  936
2,  188
3,  41
4,  6
5,  1
1,  936
2,  52
3,  5
4,  1
1,  936
2,  188
3,  39
4,  5
5,  1
1,  936
2,  188
3,  32
4,  2
1,  936
2,  188
3,  30
4,  4
5,  1
1,  660
2,  141
3,  24
4,  2
5,  1
1,  224
2,  28
3,  3
4,  1
1,  936
2,  110
3,  6
4,  2
1,  224
2,  7
3,  4
1,  936
2,  188
3,  20
4,  1
1,  936
2,  52
3,  4
4,  1
1,  936
2,  188
3,  37
1,  936
2,  110
3,  9
4,  1
1,  72
2,  28
3,  4
4,  3
1,  660
2,  147
3,  5
1,  660
2,  41
3,  11
4,  3
1,  204
2,  21
3,  2
4,  1
1,  660
2,  141
3,  24
4,  9
5,  1
1,  660
2,  108
3,  15
4,  3
1,  660
2,  141
3,  8
4,  2
5,  1
1,  660
2,  29
3,  1
1,  660
2,  141
3,  11
4,  2
1,  936
2,  188
3,  8
4,  1
1,  976
2,  179
3,  39
4,  2
5,  1
1,  936
2,  110
3,  7
4,  1
1,  976
2,  174
3,  24
4,  2
1,  976
2,  29
3,  6
4,  1
1,  976
2,  174
3,  30
4,  4
5,  1
1,  976
2,  228
3,  32
4,  5
5,  1
1,  204
2,  16
1,  224
2,  28
3,  2
1,  936
2,  61
3,  5
4,  3
5,  2
1,  936
2,  188
3,  21
4,  2
1,  936
2,  52
3,  14
4,  1
1,  936
2,  188
3,  8
4,  3
1,  936
2,  188
3,  18
4,  3
1,  936
2,  200
3,  32
4,  9
5,  1
1,  660
2,  141
3,  25
4,  1
1,  936
2,  200
3,  26
4,  3
5,  1
1,  976
2,  174
3,  26
4,  2
5,  1
1,  936
2,  110
3,  12
4,  3
5,  1
1,  976
2,  21
3,  4
4,  1
1,  976
2,  228
3,  18
4,  5
5,  1
1,  976
2,  112
3,  32
4,  1
1,  976
2,  179
3,  34
4,  7
1,  660
2,  147
3,  14
4,  3
5,  1
1,  936
2,  200
3,  13
4,  2
5,  1
1,  976
2,  174
