Move, Prob
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.166666666666667
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
0,  0.25
0,  0.25
1,  0.5
0,  0.25
0,  0.25
0,  0.25
0,  0.25
1,  0.5
0,  0.25
1,  0.5
0,  0.25
1,  0.5
0,  0.25
1,  0.5
0,  0.25
1,  0.5
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
1,  0.5
0,  0.25
1,  0.5
0,  0.25
0,  0.25
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0
0,  0
1,  0.333333333333333
0,  0
1,  0
0,  0
1,  0.25
0,  0
1,  0.25
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.25
0,  0
1,  0.25
2,  0.5
0,  0
1,  0.25
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0.25
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0.25
2,  0.5
0,  0
1,  0
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.25
2,  0.5
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.25
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.25
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0
0,  0
1,  0.25
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0
0,  0
1,  0.333333333333333
0,  0
1,  0
0,  0
1,  0.25
2,  0.5
0,  0
1,  0.25
0,  0
1,  0.25
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0.25
2,  0.5
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0.25
2,  0.5
0,  0
1,  0
0,  0
1,  0.25
2,  0.5
0,  0
1,  0.25
2,  0.5
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.25
2,  0.5
0,  0
1,  0
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
0,  0
1,  0
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
2,  0.5
0,  0.0138888888888889
1,  1
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
2,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
2,  0
0,  0
1,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
0,  0.0138888888888889
1,  1
2,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
2,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.125
2,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.125
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
0,  0.0135135135135135
1,  0.25
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
2,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.333333333333333
2,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  0.5
0,  0.0138888888888889
1,  1
0,  0
1,  0
0,  0
1,  0
2,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
0,  0
1,  0
2,  0
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0
0,  0
1,  0
0,  0
1,  0
2,  0.5
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
0,  0
1,  0
2,  0.333333333333333
0,  0
1,  0
0,  0
1,  0
2,  0
0,  0
1,  0
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
0,  0
1,  0.166666666666667
2,  0.333333333333333
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
0,  0
1,  0.166666666666667
2,  0.333333333333333
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0.166666666666667
2,  0.333333333333333
3,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0.333333333333333
2,  0.5
0,  0
1,  0
2,  0.5
0,  0
1,  0.333333333333333
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0.25
0,  0
1,  0
0,  0
1,  0.25
0,  0
1,  0.25
0,  0
1,  0.25
0,  0
1,  0.25
0,  0
1,  0.333333333333333
0,  0
1,  0
0,  0
1,  0.333333333333333
2,  0.5
0,  0
